大分類名,工種名,細別名,基本歩掛名,所要日数作業単位_数量,所要日数作業単位_単位,歩掛作業単位_数量,歩掛作業単位_単位,名称,規格,単位,数量,摘要
道路舗装コンクリート舗装工,コンクリート舗装工,機械舗設(2車),,,,100,m²,縦自由縁部,,,,"目地材・目地板等含む,"
道路舗装コンクリート舗装工,コンクリート舗装工,機械舗設(2車),,,,100,m²,コンクリートスプレッダ運転,勾配可変型・ブレード式 舗装幅5~8.5m,h,,"表3.2 機械損料,"
道路舗装コンクリート舗装工,コンクリート舗装工,機械舗設(2車),,,,100,m²,コンクリートフィニッシャ運転,勾配可変型 舗装幅5~8.5m,,,"表3.2 機械損料,"
道路舗装コンクリート舗装工,コンクリート舗装工,機械舗設(2車),,,,100,m²,コンクリートレベラ運転,勾配可変型 舗装幅5~8.5m,,,"表3.2 機械損料,"
道路舗装コンクリート舗装工,コンクリート舗装工,機械舗設(2車),,,,100,m²,諸雑費,式,1,,"表3.2,"
道路舗装コンクリート舗装工,コンクリート舗装工,人力舗設,,,,100,m²,土木一般世話役,,人,,"表3.2,"
道路舗装コンクリート舗装工,コンクリート舗装工,人力舗設,,,,100,m²,特殊作業員,,,,"表3.2,"
道路舗装コンクリート舗装工,コンクリート舗装工,人力舗設,,,,100,m²,普通作業員,,,,"表3.2,"
道路舗装コンクリート舗装工,コンクリート舗装工,人力舗設,,,,100,m²,コンクリート,,,,"式3.1,"
道路舗装コンクリート舗装工,コンクリート舗装工,人力舗設,,,,100,m²,石粉又は瀝青材,,"kg, l",,"必要に応じて計上,"
道路舗装コンクリート舗装工,コンクリート舗装工,人力舗設,,,,100,m²,鉄網,D6 150×150,,,","
道路舗装コンクリート舗装工,コンクリート舗装工,人力舗設,,,,100,m²,鉄網・補強鉄筋,D13 200×200,t,,","
道路舗装コンクリート舗装工,コンクリート舗装工,人力舗設,,,,100,m²,補強鉄筋,D13,,,","
道路舗装コンクリート舗装工,コンクリート舗装工,人力舗設,,,,100,m²,横目地 (膨張) (収縮),,m,,"目地材・目地板 スリップバー・チェア等含む,"
道路舗装コンクリート舗装工,コンクリート舗装工,人力舗設,,,,100,m²,縦自由縁部,,,,"目地材・目地板等含む,"
道路舗装コンクリート舗装工,コンクリート舗装工,人力舗設,,,,100,m²,諸雑費,式,1,,"表3.2,"
道路舗装コンクリート舗装工,連続鉄筋コンクリート舗装工,連続鉄筋コンクリート舗装工,,,,100,m²,土木一般世話役,,人,,"表3.2,"
道路舗装コンクリート舗装工,連続鉄筋コンクリート舗装工,連続鉄筋コンクリート舗装工,,,,100,m²,特殊作業員,,,,"表3.2,"
道路舗装コンクリート舗装工,連続鉄筋コンクリート舗装工,連続鉄筋コンクリート舗装工,,,,100,m²,普通作業員,,,,"表3.2,"
道路舗装コンクリート舗装工,連続鉄筋コンクリート舗装工,連続鉄筋コンクリート舗装工,,,,100,m²,鉄筋工,,,,"表3.2,"
道路舗装コンクリート舗装工,連続鉄筋コンクリート舗装工,連続鉄筋コンクリート舗装工,,,,100,m²,左官,,,,"表3.2,"
道路舗装コンクリート舗装工,連続鉄筋コンクリート舗装工,連続鉄筋コンクリート舗装工,,,,100,m²,コンクリート,,m³,,"式3.1,"
道路舗装コンクリート舗装工,連続鉄筋コンクリート舗装工,連続鉄筋コンクリート舗装工,,,,100,m²,鉄筋,SD345 D16~D25,t,,","
道路舗装コンクリート舗装工,連続鉄筋コンクリート舗装工,連続鉄筋コンクリート舗装工,,,,100,m²,鉄筋,SD345 D13,,,","
道路舗装コンクリート舗装工,連続鉄筋コンクリート舗装工,連続鉄筋コンクリート舗装工,,,,100,m²,スペーサー,SD345 D10,m,,"表3.4,"
道路舗装コンクリート舗装工,連続鉄筋コンクリート舗装工,連続鉄筋コンクリート舗装工,,,,100,m²,縦目地 (膨張)(収縮),,,,"目地材・タイパー・チェア等を含む,"
道路舗装コンクリート舗装工,連続鉄筋コンクリート舗装工,連続鉄筋コンクリート舗装工,,,,100,m²,横目地,,,,"必要に応じて計上,"
道路舗装コンクリート舗装工,連続鉄筋コンクリート舗装工,連続鉄筋コンクリート舗装工,,,,100,m²,縦自由縁部,,,,"目地材・目地板等を含む,"
道路舗装コンクリート舗装工,連続鉄筋コンクリート舗装工,連続鉄筋コンクリート舗装工,,,,100,m²,スリップフォームペーパ運転,コンクリート舗装用 最大舗装幅6m 最大舗装厚30cm,日,,"表3.1,表3.2 機械損料,"
道路舗装コンクリート舗装工,連続鉄筋コンクリート舗装工,連続鉄筋コンクリート舗装工,,,,100,m²,諸雑費,式,1,,"表3.2,"
道路舗装コンクリート舗装工,連続鉄筋コンクリート舗装工,目地切り・清掃工,,,,100,m,土木一般世話役,,人,,"表4.2,"
道路舗装コンクリート舗装工,連続鉄筋コンクリート舗装工,目地切り・清掃工,,,,100,m,特殊作業員,,,,"表4.2,"
道路舗装コンクリート舗装工,連続鉄筋コンクリート舗装工,目地切り・清掃工,,,,100,m,普通作業員,,,,"表4.2,"
道路舗装コンクリート舗装工,連続鉄筋コンクリート舗装工,目地切り・清掃工,,,,100,m,コンクリートカッタ運転,乾式・切削深20cm級 ブレード径44~56cm,日,,"表4.1,表4.2 機械損料,"
道路舗装コンクリート舗装工,連続鉄筋コンクリート舗装工,目地切り・清掃工,,,,100,m,諸雑費,式,1,,"表4.2,"
道路付属施設防護柵設置工,ガードケーブル設置工,端末支柱,,,,100,本,土木一般世話役,,人,,"表5.1,"
道路付属施設防護柵設置工,ガードケーブル設置工,端末支柱,,,,100,本,特殊作業員,,,,"表5.1,"
道路付属施設防護柵設置工,ガードケーブル設置工,端末支柱,,,,100,本,普通作業員,,,,"表5.1,"
道路付属施設防護柵設置工,ガードケーブル設置工,端末支柱,,,,100,本,端末支柱,,本,100,","
道路付属施設防護柵設置工,ガードケーブル設置工,端末支柱,,,,100,本,端末補助支柱,,,100,"必要に応じ計上,"
道路付属施設防護柵設置工,ガードケーブル設置工,端末支柱,,,,100,本,基礎砕石,,m³,,"表6.1,"
道路付属施設防護柵設置工,ガードケーブル設置工,端末支柱,,,,100,本,トラック(クレーン装置付) 運転,ベーストラック4~4.5t積・吊能力2.9t,h,,"表5.1 機械損料,"
道路付属施設防護柵設置工,ガードケーブル設置工,端末支柱,,,,100,本,諸雑費,式,1,,","
道路付属施設防護柵設置工,ガードケーブル設置工,中間支柱建込,,,,100,本,土木一般世話役,,人,,"表5.2,"
道路付属施設防護柵設置工,ガードケーブル設置工,中間支柱建込,,,,100,本,特殊作業員,,,,"表5.2,"
道路付属施設防護柵設置工,ガードケーブル設置工,中間支柱建込,,,,100,本,普通作業員,,,,"表5.2,"
道路付属施設防護柵設置工,ガードケーブル設置工,中間支柱建込,,,,100,本,中間支柱,各種,本,100,","
道路付属施設防護柵設置工,ガードケーブル設置工,中間支柱建込,,,,100,本,根巻きコンクリートブロック,,個,100,"必要に応じ計上,"
道路付属施設防護柵設置工,ガードケーブル設置工,中間支柱建込,,,,100,本,ガードレール支柱打込機運転,モンケン式 400~600kg,h,,"表5.2 機械打込のみ 機械損料,"
道路付属施設防護柵設置工,ガードケーブル設置工,中間支柱建込,,,,100,本,トラック(クレーン装置付) 運転,ベーストラック4~4.5t積・吊能力2.9t,h,,"表5.2 コンクリート建込のみ 機械損料,"
道路付属施設防護柵設置工,ガードケーブル設置工,中間支柱建込,,,,100,本,諸雑費,式,1,,"表5.2,"
道路付属施設防護柵設置工,ガードケーブル設置工,ケーブル張,,,,100,m,土木一般世話役,,人,,"表5.3,"
道路付属施設防護柵設置工,ガードケーブル設置工,ケーブル張,,,,100,m,普通作業員,,,,"表5.3,"
道路付属施設防護柵設置工,ガードケーブル設置工,ケーブル張,,,,100,m,ガードケーブル,,m,100,","
道路付属施設防護柵設置工,ガードケーブル設置工,ケーブル張,,,,100,m,間隔保持材,,組,,"必要数計上,"
道路付属施設防護柵設置工,ガードケーブル設置工,ケーブル張,,,,100,m,トラック(クレーン装置付) 運転,ベーストラック 4~4.5t積・吊能力2.9t,h,,"表5.3 機械損料,"
道路付属施設防護柵設置工,ガードケーブル設置工,ケーブル張,,,,100,m,諸雑費,式,1,,","
道路付属施設防護柵設置工,ワイヤロープ設置工,端末基礎・端末金具設置(鋼管杭),,,,1,箇所,土木一般世話役,,人,1/D,"表4.1,表5.1,"
道路付属施設防護柵設置工,ワイヤロープ設置工,端末基礎・端末金具設置(鋼管杭),,,,1,箇所,特殊作業員,,,2/D,"表4.1,表5.1,"
道路付属施設防護柵設置工,ワイヤロープ設置工,端末基礎・端末金具設置(鋼管杭),,,,1,箇所,普通作業員,,,1/D,"表4.1,表5.1,"
道路付属施設防護柵設置工,ワイヤロープ設置工,端末基礎・端末金具設置(鋼管杭),,,,1,箇所,ダウンザホールハンマ運転,空圧式 掘削孔径152~191mm,日,1/D,"表3.1,表5.1 機械損料,"
道路付属施設防護柵設置工,ワイヤロープ設置工,端末基礎・端末金具設置(鋼管杭),,,,1,箇所,空気圧縮機運転,可搬式・エンジン駆動・スクリュ型(超低騒音型)・排出ガス対策型(第2次基準値) 吐出量5.0~5.1m³/min,,1/D,"表3.1,表5.1 機械損料,"
道路付属施設防護柵設置工,ワイヤロープ設置工,端末基礎・端末金具設置(鋼管杭),,,,1,箇所,ガードレール支柱打込機運転,エアブレーカ式 ブレーカ質量700kg級 打撃周波数530bpm,,1/D,"表3.1,表5.1 機械損料,"
道路付属施設防護柵設置工,ワイヤロープ設置工,端末基礎・端末金具設置(鋼管杭),,,,1,箇所,トラック(クレーン装置付) 運転,ベーストラック 4~4.5t積、吊能力2.9t,,2/D,"表3.1,表5.1 機械損料,"
道路付属施設防護柵設置工,ワイヤロープ設置工,端末基礎・端末金具設置(鋼管杭),,,,1,箇所,諸雑費,式,1,,"表6.1,"
道路付属施設防護柵設置工,ワイヤロープ設置工,中間支柱・端末支柱設置,,,,100,本,土木一般世話役,,人,1×100/D,"表4.1,表5.1,"
道路付属施設防護柵設置工,ワイヤロープ設置工,中間支柱・端末支柱設置,,,,100,本,特殊作業員,,,2×100/D,"表4.1,表5.1,"
道路付属施設防護柵設置工,ワイヤロープ設置工,中間支柱・端末支柱設置,,,,100,本,普通作業員,,,1×100/D,"表4.1,表5.1,"
道路付属施設防護柵設置工,ワイヤロープ設置工,中間支柱・端末支柱設置,,,,100,本,ダウンザホールハンマ運転,空圧式 掘削孔径110~130mm,日,1×100/D,"表3.1,表5.1 機械損料,"
道路付属施設防護柵設置工,ワイヤロープ設置工,中間支柱・端末支柱設置,,,,100,本,ガードレール支柱打込機運転,エアブレーカ式 ブレーカ質量700kg級 打撃周波数530bpm,,2×100/D,"表3.1,表5.1 機械損料,"
道路付属施設防護柵設置工,ワイヤロープ設置工,中間支柱・端末支柱設置,,,,100,本,トラック(クレーン装置付) 運転,ベーストラック 4~4.5t積・吊能力2.9t,,1×100/D,"表3.1,表5.1 機械損料,"
道路付属施設防護柵設置工,ワイヤロープ設置工,中間支柱・端末支柱設置,,,,100,本,諸雑費,式,1,,"表6.1,"
道路付属施設防護柵設置工,ワイヤロープ設置工,ワイヤロープ設置,,,,100,m,土木一般世話役,,人,1×100/D,"表4.1,表5.1,"
道路付属施設防護柵設置工,ワイヤロープ設置工,ワイヤロープ設置,,,,100,m,普通作業員,,,4×100/D,"表4.1,表5.1,"
道路付属施設防護柵設置工,ワイヤロープ設置工,ワイヤロープ設置,,,,100,m,トラック(クレーン装置付) 運転,ベーストラック 4~4.5t積・吊能力2.9t,日,1×100/D,"表3.1,表5.1 機械損料,"
道路付属施設防護柵設置工,ワイヤロープ設置工,ワイヤロープ設置,,,,100,m,諸雑費,式,1,,","
道路付属施設防護柵設置工,ワイヤロープ設置工,ターンバックル設置,,,,10,箇所,土木一般世話役,,人,1×10/D,"表4.1,表5.1,"
道路付属施設防護柵設置工,ワイヤロープ設置工,ターンバックル設置,,,,10,箇所,特殊作業員,,,2×10/D,"表4.1,表5.1,"
道路付属施設防護柵設置工,ワイヤロープ設置工,ターンバックル設置,,,,10,箇所,普通作業員,,,2×10/D,"表4.1,表5.1,"
道路付属施設防護柵設置工,ワイヤロープ設置工,ターンバックル設置,,,,10,箇所,トラック(クレーン装置付) 運転,"ベーストラック 4~4.5t積,吊能力2.9t",日,1×10/D,"表3.1,表5.1 機械損料,"
道路付属施設防護柵設置工,ワイヤロープ設置工,ターンバックル設置,,,,10,箇所,諸雑費,式,1,,"表6.2,"
道路付属施設防護柵設置工,ワイヤロープ設置工,橋梁部基礎・支柱設置,,,,10,箇所,土木一般世話役,,人,1×10/D,"表4.1,表5.1,"
道路付属施設防護柵設置工,ワイヤロープ設置工,橋梁部基礎・支柱設置,,,,10,箇所,特殊作業員,,,1×10/D,"表4.1,表5.1,"
道路付属施設防護柵設置工,ワイヤロープ設置工,橋梁部基礎・支柱設置,,,,10,箇所,普通作業員,,,2×10/D,"表4.1,表5.1,"
道路付属施設防護柵設置工,ワイヤロープ設置工,橋梁部基礎・支柱設置,,,,10,箇所,トラック(クレーン装置付) 運転,"ベーストラック 4~4.5t積,吊能力2.9t",日,1×10/D,"表3.1,表5.1 機械損料,"
道路付属施設防護柵設置工,ワイヤロープ設置工,橋梁部基礎・支柱設置,,,,10,箇所,諸雑費,式,1,,","
道路維持修繕,路面切削工 切削オーバーレイ工,切削オーバーレイ,,,,100,m²,土木一般世話役,,人,1×100/D,"表4.1,表5.1,"
道路維持修繕,路面切削工 切削オーバーレイ工,切削オーバーレイ,,,,100,m²,特殊作業員,,,3×100/D,"表4.1,表5.1,"
道路維持修繕,路面切削工 切削オーバーレイ工,切削オーバーレイ,,,,100,m²,普通作業員,,,5×100/D,"表4.1,表5.1,"
道路維持修繕,路面切削工 切削オーバーレイ工,切削オーバーレイ,,,,100,m²,アスファルト混合物,,t,,"(注)1,表5.2,"
道路維持修繕,路面切削工 切削オーバーレイ工,切削オーバーレイ,,,,100,m²,瀝青材料,,l,,"表5.3,"
道路維持修繕,路面切削工 切削オーバーレイ工,切削オーバーレイ,,,,100,m²,路面切削機運転,ホイール式・廃材積込装置付。排出ガス対策型(第3次基準値) 切削幅2.0m×深さ23cm,日,100/D,"表5.1 機械損料,"
道路維持修繕,路面切削工 切削オーバーレイ工,切削オーバーレイ,,,,100,m²,路面清掃車運転,ブラシ・四輪式・路面切削工事用・ホッパ容量1.5m³,,100/D,"路面清掃車運転 機械損料,"
道路維持修繕,路面切削工 切削オーバーレイ工,切削オーバーレイ,,,,100,m²,アスファルトフィニッシャ運転,ホイール型 排出ガス対策型(2014年規制) 舗装幅2.3~6.0m,,100/D,"アスファルトフィニッシャ運転 機械損料,"
道路維持修繕,路面切削工 切削オーバーレイ工,切削オーバーレイ,,,,100,m²,ロードローラ運転,マカダム・超低騒音型。排出ガス対策型 (2014年規制) 運転質量10t 締固め幅2.1m,,100/D,"ロードローラ運転 機械損料,"
道路維持修繕,路面切削工 切削オーバーレイ工,切削オーバーレイ,,,,100,m²,タイヤローラ運転,普通型・超低騒音型。排出ガス対策型(2014年規制) 運転質量13~14t,,100/D,"タイヤローラ運転 機械損料,"
道路維持修繕,路面切削工 切削オーバーレイ工,切削オーバーレイ,,,,100,m²,諸雑費,式,1,,"表6.1,"
道路維持修繕,路面切削工 切削オーバーレイ工 (ICT),切削オーバーレイ (ICT),,,,100,m²,土木一般世話役,,人,1×100/D,"表4.1,表5.1,"
道路維持修繕,路面切削工 切削オーバーレイ工 (ICT),切削オーバーレイ (ICT),,,,100,m²,特殊作業員,,,3×100/D,"表4.1,表5.1,"
道路維持修繕,路面切削工 切削オーバーレイ工 (ICT),切削オーバーレイ (ICT),,,,100,m²,普通作業員,,,5×100/D,"表4.1,表5.1,"
道路維持修繕,路面切削工 切削オーバーレイ工 (ICT),切削オーバーレイ (ICT),,,,100,m²,アスファルト混合物,,t,,"(注)1,3,"
道路維持修繕,路面切削工 切削オーバーレイ工 (ICT),切削オーバーレイ (ICT),,,,100,m²,瀝青材料,,l,,"(注)4,"
道路維持修繕,路面切削工 切削オーバーレイ工 (ICT),切削オーバーレイ (ICT),,,,100,m²,路面切削機 (ICT)運転,ホイール式・廃材積込装置付。排出ガス対策型(2014年規制) 切削幅2.0m×深さ23cm,日,100/D,"表5.1 機械損料,"
道路維持修繕,路面切削工 切削オーバーレイ工 (ICT),切削オーバーレイ (ICT),,,,100,m²,路面清掃車運転,ブラシ・四輪式 路面切削工事用・ホッパ容量1.5m³,,100/D,"路面清掃車運転 機械損料,"
道路維持修繕,路面切削工 切削オーバーレイ工 (ICT),切削オーバーレイ (ICT),,,,100,m²,アスファルトフィニッシャ運転,ホイール型 排出ガス対策型(2014年規制) 舗装幅2.3~6.0m,,100/D,"アスファルトフィニッシャ運転 機械損料,"
道路維持修繕,路面切削工 切削オーバーレイ工 (ICT),切削オーバーレイ (ICT),,,,100,m²,ロードローラ運転,マカダム・超低騒音型。排出ガス対策型(2014年規制) 運転質量10t 締固め幅2.1m,,100/D,"ロードローラ運転 機械損料,"
道路維持修繕,路面切削工 切削オーバーレイ工 (ICT),切削オーバーレイ (ICT),,,,100,m²,タイヤローラ運転,普通型・超低騒音型。排出ガス対策型(2014年規制) 運転質量13~14t,,100/D,"タイヤローラ運転 機械損料,"
道路維持修繕,路面切削工 切削オーバーレイ工 (ICT),切削オーバーレイ (ICT),,,,100,m²,諸雑費,式,1,,"表6.1,"
道路維持修繕,道路打換え工,大型ブレーカ又はコンクリート圧砕装置+機械施工,,,,100,m²,土木一般世話役,,人,1×1/8×T,"表4.1,(注)1,"
道路維持修繕,道路打換え工,大型ブレーカ又はコンクリート圧砕装置+機械施工,,,,100,m²,特殊作業員,,,3×1/8×T,"表4.1,(注)1,"
道路維持修繕,道路打換え工,大型ブレーカ又はコンクリート圧砕装置+機械施工,,,,100,m²,普通作業員,,,4×1/8×T,"表4.1,(注)1,"
道路維持修繕,道路打換え工,大型ブレーカ又はコンクリート圧砕装置+機械施工,,,,100,m²,クラッシャラン,,m³,A,"100m²×仕上り厚×(1+ロス率)=A,(注)2,"
道路維持修繕,道路打換え工,大型ブレーカ又はコンクリート圧砕装置+機械施工,,,,100,m²,粒度調整砕石,,m³,B,"100m²×仕上り厚×(1+ロス率)=B,(注)2,"
道路維持修繕,道路打換え工,大型ブレーカ又はコンクリート圧砕装置+機械施工,,,,100,m²,アスファルト混合物,,t,C,"100m²×仕上り厚×設計密度(t/m³)×(1+ロス率)=C,(注)3,"
道路維持修繕,道路打換え工,大型ブレーカ又はコンクリート圧砕装置+機械施工,,,,100,m²,大型ブレーカ運転,油圧ブレーカ バケット容量0.2m³対応 ベースマシン含む・超低騒音型 排出ガス対策型(第3次基準値),日,T/T,"表5.3,(注)4 機械賃料,"
道路維持修繕,道路打換え工,大型ブレーカ又はコンクリート圧砕装置+機械施工,,,,100,m²,バックホウ(クローラ型)運転 (コンクリート圧砕装置ベースマシン),標準型・超低騒音型・排出ガス対策型(第3次基準値) 山積0.45m³(平積0.35m³),,T/T,"表5.3,(注)4 機械賃料,"
道路維持修繕,道路打換え工,大型ブレーカ又はコンクリート圧砕装置+機械施工,,,,100,m²,バックホウ用アタッチメント [コンクリート圧砕装置 (小割機)],開口幅730mm 破砕力600kN,,T/T,"表5.3,(注)4 機械損料,"
道路維持修繕,道路打換え工,大型ブレーカ又はコンクリート圧砕装置+機械施工,,,,100,m²,バックホウ (クローラ型)運転,標準型・超低騒音型。排出ガス対策型(第3次基準値) 山積0.45m³(平積0.35m²),,(T_B2)/T,"表5.4 機械賃料,"
道路維持修繕,道路打換え工,大型ブレーカ又はコンクリート圧砕装置+機械施工,,,,100,m²,小型バックホウ (クローラ型)運転,標準型・超低騒音型。排出ガス対策型(第3次基準値) 山積0.09~0.11m³(平積0.07~0.08m³),,T_0×層数/T,"表5.5 機械損料,"
道路維持修繕,道路打換え工,大型ブレーカ又はコンクリート圧砕装置+機械施工,,,,100,m²,タイヤローラ運転,普通型・低騒音型。排出ガス対策型(第2次基準値) 運転質量8~20t,,(T_0×層数+T_F×層数)/T,"表5.5,表5.6 機械賃料,"
道路維持修繕,道路打換え工,大型ブレーカ又はコンクリート圧砕装置+機械施工,,,,100,m²,振動ローラ (舗装用)運転,搭乗・コンバインド式・低騒音型・排出ガス対策型(第2次基準値) 運転質量3~4t,,(T_0×層数+T_F×層数)/T,"表5.5,表5.6 機械賃料,"
道路維持修繕,道路打換え工,大型ブレーカ又はコンクリート圧砕装置+機械施工,,,,100,m²,アスファルトフィニッシャ運転,ホイール型・低騒音型。排出ガス対策型(第3次基準値) 舗装幅2.3~6.0m,,T_F×層数/T,"表5.6 機械賃料,"
道路維持修繕,道路打換え工,大型ブレーカ又はコンクリート圧砕装置+機械施工,,,,100,m²,諸雑費,式,1,,"表5.7,"
,道路維持修繕路上路盤再生工,路上路盤再生工,,,,100,m²,土木一般世話役,,人,1×100/D,"1×100/D,表4.1,表5.1"
,道路維持修繕路上路盤再生工,路上路盤再生工,,,,100,m²,普通作業員,,,4×100/D,"4×100/D,表4.1,表5.1"
,道路維持修繕路上路盤再生工,路上路盤再生工,,,,100,m²,添加剤,セメント系,kg,,","
,道路維持修繕路上路盤再生工,路上路盤再生工,,,,100,m²,混合用乳剤,,,,",必要により計上する"
,道路維持修繕路上路盤再生工,路上路盤再生工,,,,100,m²,砂,,m³,,",必要により計上する"
,道路維持修繕路上路盤再生工,路上路盤再生工,,,,100,m²,スタビライザ運転,路盤再生用 処理深さ0.4m×幅2.0m,日,100/D,"100/D,機械損料"
,道路維持修繕路上路盤再生工,路上路盤再生工,,,,100,m²,モータグレーダ運転,土工用。排出ガス対策型(第1次基準値) ブレード幅3.1m,,100/D,"100/D,表5.1 機械損料"
,道路維持修繕路上路盤再生工,路上路盤再生工,,,,100,m²,ロードローラ運転,マカダム・排出ガス対策型(第1次基準値) 運転質量10~12t,,100/D,"100/D,表5.1 機械損料"
,道路維持修繕路上路盤再生工,路上路盤再生工,,,,100,m²,タイヤローラ運転,普通型。排出ガス対策型(第1次基準値) 運転質量8~20t,,100/D,"100/D,表5.1 機械賃料"
,道路維持修繕路上路盤再生工,路上路盤再生工,,,,100,m²,振動ローラ (舗装用)運転,搭乗・タンデム式・排出ガス対策型(第1次基準値) 運転質量6~7.5t,,100/D,"100/D,表5.1 機械賃料"
,道路維持修繕路上路盤再生工,路上路盤再生工,,,,100,m²,諸雑費,式,1,1,"表6.1,"
道路維持修繕,アスファルト注入工,削孔,,,,100,穴,土木一般世話役,,人,,"表4.1,"
道路維持修繕,アスファルト注入工,削孔,,,,100,穴,特殊作業員,,,,"表4.1,"
道路維持修繕,アスファルト注入工,削孔,,,,100,穴,普通作業員,,,,"表4.1,"
道路維持修繕,アスファルト注入工,削孔,,,,100,穴,空気圧縮機運転,可搬式・エンジン駆動・スクリュ型・排出ガス対策型(第1次基準値) 吐出量7.5~7.8m³/min 吐出圧力0.7MPa,日,,"表4.1 機械賃料,"
道路維持修繕,アスファルト注入工,削孔,,,,100,穴,ハンドハンマ,20kg級,,,"表4.1 機械損料,"
道路維持修繕,アスファルト注入工,削孔,,,,100,穴,トラック運転,普通型 2t積,h,,"表4.1 機械損料,"
道路維持修繕,アスファルト注入工,削孔,,,,100,穴,諸雑費,式,1,,"表4.1,"
道路維持修繕,アスファルト注入工,アスファルト注入,,,,1,t,土木一般世話役,,人,,"表4.2,"
道路維持修繕,アスファルト注入工,アスファルト注入,,,,1,t,特殊作業員,,,,"表4.2,"
道路維持修繕,アスファルト注入工,アスファルト注入,,,,1,t,普通作業員,,,,"表4.2,"
道路維持修繕,アスファルト注入工,アスファルト注入,,,,1,t,ブロンアスファルト,JIS K2207 針入度20~30,t,,"式3.1,"
道路維持修繕,アスファルト注入工,アスファルト注入,,,,1,t,アスファルトケットル運転,"定置式 タンク容量6,000l",日,,"表4.2 機械損料,"
道路維持修繕,アスファルト注入工,アスファルト注入,,,,1,t,ディストリビュータ運転,"自走式(トラック架装式) タンク容量4,000~4,500 l",,,"表4.2 機械損料,"
道路維持修繕,アスファルト注入工,アスファルト注入,,,,1,t,トラック運転,普通型 2t積,h,,"表4.2 機械損料,"
道路維持修繕,アスファルト注入工,アスファルト注入,,,,1,t,諸雑費,式,1,,"表4.2,"
道路維持修繕,アスファルト注入工,"アスファルトケットル (6,000l) 運転",,,,1,日,特殊作業員,,人,,"表4.3,"
道路維持修繕,アスファルト注入工,"アスファルトケットル (6,000l) 運転",,,,1,日,加熱用燃料費,,,,"表4.4,"
道路維持修繕,アスファルト注入工,"アスファルトケットル (6,000l) 運転",,,,1,日,アスファルトケットル,"定置式 タンク容量6,000l",日,1,"機械損料,"
道路維持修繕,アスファルト注入工,"アスファルトケットル (6,000l) 運転",,,,1,日,諸雑費,式,1,,","
道路維持修繕,アスファルト注入工,ディストリビュータ運転,,,,1,日,運転手(一般),,人,1,","
道路維持修繕,アスファルト注入工,ディストリビュータ運転,,,,1,日,加熱用燃料費,,l,,"表4.4,"
道路維持修繕,アスファルト注入工,ディストリビュータ運転,,,,1,日,運転用燃料費,,,運転当り燃料消費量 × T,"「第2編1章一般事項 原動機燃料消費量」による,"
道路維持修繕,アスファルト注入工,ディストリビュータ運転,,,,1,日,ディストリビュータ,"自走式 (トラック架装式) タンク容量4,000~4,500l",日,1,"機械損料,"
道路維持修繕,アスファルト注入工,ディストリビュータ運転,,,,1,日,トラック,普通型 6~6.5t積,h,4.3,"機械損料,"
道路維持修繕,アスファルト注入工,ディストリビュータ運転,,,,1,日,諸雑費,式,1,,","
道路維持修繕床版補強工,床版補強工,下地処理工,,,,100,m²,土木一般世話役,,人,,"表3.2,"
道路維持修繕床版補強工,床版補強工,下地処理工,,,,100,m²,特殊作業員,,,,"表3.2,"
道路維持修繕床版補強工,床版補強工,下地処理工,,,,100,m²,諸雑費,式,1,,","
道路維持修繕床版補強工,床版補強工,プライマー工,,,,100,m²,土木一般世話役,,人,,"表3.3,"
道路維持修繕床版補強工,床版補強工,プライマー工,,,,100,m²,特殊作業員,,,,"表3.3,"
道路維持修繕床版補強工,床版補強工,プライマー工,,,,100,m²,プライマー,,kg,,"表3.3,"
道路維持修繕床版補強工,床版補強工,プライマー工,,,,100,m²,諸雑費,式,1,,"表3.3,"
道路維持修繕床版補強工,床版補強工,不陸整正工,,,,100,m²,土木一般世話役,,人,,"表3.4,"
道路維持修繕床版補強工,床版補強工,不陸整正工,,,,100,m²,特殊作業員,,,,"表3.4,"
道路維持修繕床版補強工,床版補強工,不陸整正工,,,,100,m²,普通作業員,,,,"表3.4,"
道路維持修繕床版補強工,床版補強工,不陸整正工,,,,100,m²,エポキシ樹脂パテ,,kg,,"表3.4,"
道路維持修繕床版補強工,床版補強工,不陸整正工,,,,100,m²,諸雑費,式,1,,"表3.4,"
道路維持修繕床版補強工,床版補強工,炭素繊維シート接着工,,,,100,m²,土木一般世話役,,人,,"表3.5,"
道路維持修繕床版補強工,床版補強工,炭素繊維シート接着工,,,,100,m²,特殊作業員,,,,"表3.5,"
道路維持修繕床版補強工,床版補強工,炭素繊維シート接着工,,,,100,m²,普通作業員,,,,"表3.5,"
道路維持修繕床版補強工,床版補強工,炭素繊維シート接着工,,,,100,m²,炭素繊維シート,,m²,,"表3.5,"
道路維持修繕床版補強工,床版補強工,炭素繊維シート接着工,,,,100,m²,エポキシ樹脂含浸材,,kg,,"表3.6,"
道路維持修繕床版補強工,床版補強工,炭素繊維シート接着工,,,,100,m²,諸雑費,式,1,,"表3.5,"
道路維持修繕床版補強工,床版補強工,炭素繊維シート接着工,,,,100,m²,特許料金,,1,,"必要に応じて計上,"
道路維持修繕床版補強工,床版補強工,仕上げ塗装工,,,,100,m²,土木一般世話役,,人,,"表3.7,"
道路維持修繕床版補強工,床版補強工,仕上げ塗装工,,,,100,m²,特殊作業員,,,,"表3.7,"
